outlet_name,neighborhood_type,wins,expected_wins,std_residual,p_two,p_adj,significant
Cheers Changi Village Road,residential,96,1.8,70.88,1.939697790258946e-127,7.235072757665869e-125,True
7-Eleven Store Sixth Avenue,mixed,48,0.5,66.44,9.784533878101071e-76,9.124077841329248e-74,True
Kis Store,residential,88,2.2,58.26,5.176253687914479e-106,9.653713127960504e-104,True
Singapore Pools Siglap Branch,residential,58,1.3,49.68,1.0607905164574951e-72,7.913497252772914e-71,True
NTUC FairPrice NEX,residential,119,20.5,21.79,5.552026063337415e-50,3.451509536041426e-48,True
Singapore Pools Empress Road Branch,residential,31,2.0,20.71,4.514044303392988e-26,1.0523365782284903e-24,True
Giant Beauty World Centre,residential,45,4.5,19.0,7.13264015809969e-29,2.2170623158093205e-27,True
Singapore Pools Cheong Chin Nam Road Branch,residential,45,4.7,18.67,2.2606571166402156e-28,6.486346957744618e-27,True
7-Eleven Store Yishun Ring Road,residential,158,43.3,17.42,9.24030927156674e-41,4.3082941978679925e-39,True
Tong Aik Huat,residential,228,77.1,17.18,1.1938028812011095e-43,6.361263924114484e-42,True
NTUC FP Coronation,residential,33,3.1,17.09,1.3600274300515852e-22,2.4156677686154346e-21,True
Singapore Pools Jurong West N4 Branch,residential,120,31.9,15.61,1.5132917506067963e-32,6.271753588625945e-31,True
Singapore Pools Yishun N1 Branch,residential,118,33.7,14.51,2.62619407330103e-29,8.90518535764804e-28,True
Singapore Pools Jurong West N5 Branch,residential,138,43.9,14.19,1.8387201551940164e-29,6.858426178873681e-28,True
Singapore Pools Jurong East Branch,residential,98,26.2,14.03,1.1476646444813532e-26,3.0577065170824627e-25,True
Singapore Pools Clementi Town Centre Branch,residential,113,34.2,13.46,4.230484715624114e-26,1.0519805326185297e-24,True
Cheers Harbourfront Centre,mixed,79,20.2,13.1,6.214156017208621e-23,1.1589400972094078e-21,True
NTUC FairPrice Bukit Timah Plaza,residential,43,7.5,12.98,8.828490628119416e-19,1.2665488478032853e-17,True
NTUC FairPrice AMK Hub,residential,121,39.7,12.91,5.798326672103036e-25,1.2722210874673132e-23,True
Singapore Pools Serangoon Central Branch,residential,88,25.3,12.48,4.2198055589975844e-22,7.154488515936814e-21,True
Singapore Pools Ang Mo Kio N6 Branch,residential,85,25.2,11.9,1.606406862312176e-20,2.4966239985101737e-19,True
Singapore Pools Lucky Plaza Branch,mixed,75,21.5,11.56,3.9025414382012546e-19,5.822591825796272e-18,True
7-Eleven Jalan Leban,residential,44,9.2,11.5,2.1898200904698502e-16,2.4751602840765276e-15,True
Singapore Pools People's Park Centre (Chinatown) Branch,commercial,169,72.5,11.32,7.026285526178138e-22,1.1394802179410634e-20,True
NTUC FairPrice Parkway Parade,residential,28,4.7,10.82,3.6926181161760303e-13,3.0607701274081317e-12,True
Tan Boon Tin Agency,residential,59,16.5,10.49,8.141765233966138e-16,8.676795520769627e-15,True
Singapore Pools Teck Whye Branch,residential,102,40.3,9.72,6.024115220664025e-16,6.608808756787297e-15,True
Delisia Agency Pte Ltd,commercial,196,99.6,9.66,2.0281896057327793e-17,2.4403700739946023e-16,True
Singapore Pools Whampoa Drive Branch,residential,104,42.4,9.46,2.179204306898006e-15,2.257897795758212e-14,True
NTUC FairPrice The Woodleigh Mall,residential,20,3.4,9.04,1.2524252733403038e-09,7.534752047676344e-09,True
Singapore Pools Bukit Panjang Branch,residential,102,43.3,8.91,4.911481307859117e-14,4.579956319578627e-13,True
Singapore Pools Clementi N3 Branch,residential,87,35.0,8.79,2.1412814080792584e-13,1.9016618219370556e-12,True
PFG Framing & Trading,residential,117,54.8,8.39,4.252987918762664e-13,3.4486184645618994e-12,True
Tan Wee Fong Trading,residential,142,74.0,7.91,2.9066336831120886e-12,2.168348727601618e-11,True
Chua Hong Kim Trading,residential,74,30.8,7.78,6.168116551074465e-11,4.260569395464399e-10,True
NTUC FairPrice Jurong Gateway Road,mixed,122,61.7,7.68,1.687897935713526e-11,1.2107421731175869e-10,True
Singapore Pools Jalan Tiga Branch,residential,77,33.0,7.65,9.579955776316153e-11,6.268988604501623e-10,True
Singapore Pools Clementi N7 Branch,residential,101,48.8,7.47,8.921516824728275e-11,5.942367456470798e-10,True
NTUC FairPrice Thomson Plaza,residential,73,31.3,7.46,2.832493486812639e-10,1.790711984035787e-09,True
Singapore Pools Tanjong Pagar Branch,mixed,122,63.9,7.27,1.4035269846187326e-10,9.026130435565298e-10,True
NTUC FairPrice Clementi Avenue 3,residential,81,36.9,7.25,5.239985739863083e-10,3.204122427817918e-09,True
Cheng Chew Wah Agency - Marine Terrace,residential,60,24.6,7.14,2.3448812556731283e-09,1.3456010897939644e-08,True
Giant Parkway Parade,residential,47,17.4,7.09,7.000692248686211e-09,3.6267475121666065e-08,True
NTUC FairPrice Marine Parade Central,residential,63,26.9,6.98,3.989088433415026e-09,2.2207910233788128e-08,True
