outlet_name,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,n_outlets_at_postal,shared_postal,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb,wins,reliable,p_two,sig
NTUC FairPrice NEX,556083,Authorised Retailer (FairPrice),SERANGOON,NORTH-EAST REGION,residential,116900.0,1,0,1.35067551435975,103.871861623874,492073,19983,83592,60658,17617,81,0.8963,1931025,19983,109843,183555,129935,171,0.9637,4178321,59759,146503,508814,331179,219,0.9697,13.5,20,99,119,2609,4160,1574,171.0,19983.0,181.69400363230824,0,285986.3617172532,0.0011092132089507,20.458328425886915,0.0756035578144853,0.0064519626978963,21.786368838639813,269154.0,38.1322960615295,13.095697489401111,119,True,5.552026063337415e-50,True
7-Eleven Store Yishun Ring Road,760103,Authorised Retailer (7-Eleven),YISHUN,NORTH REGION,residential,221610.0,1,0,1.43136934951878,103.828892847163,523226,2044,50385,61710,20701,83,0.9527,1281057,39548,91239,238871,132145,185,0.9397,2185151,320033,201084,404206,240643,376,0.8446,12.0,41,117,158,1245,4156,2938,185.0,39548.0,206.1643124481072,0,605710.749972539,0.0023492811357809,43.3301412683446,0.0537780803267528,0.0085664714812405,17.420243649173475,543530.0,77.00441709327421,9.230038582652591,158,True,9.24030927156674e-41,True
Tong Aik Huat,530685,Authorised Retailer,HOUGANG,NORTH-EAST REGION,residential,227560.0,1,0,1.37518092664617,103.886022660348,519059,0,0,101110,18847,120,1.0,1738647,24019,72424,471914,172893,355,0.9672,3574011,353627,160767,846480,413277,625,0.8938,11.0,35,193,228,1253,4177,2930,355.0,24019.0,367.8538894682686,0,1077811.896142027,0.0041803503663119,77.10238215625809,0.077815699658703,0.0123617436564736,17.18495842083054,1040150.0,147.36287682293374,6.642644029441246,228,True,1.1938028812011095e-43,True
Singapore Pools Jurong West N4 Branch,640498,Branch,TENGAH,WEST REGION,residential,10.0,1,0,1.34833335760515,103.724307319237,374619,0,40924,108569,86612,72,0.9508,1407192,0,130874,287248,240592,218,0.9575,2756676,272676,201480,619524,1301935,404,0.8844,12.0,17,103,120,2139,4171,2044,218.0,0.0,218.0,0,445592.0,0.0017282521069708,31.875881860970026,0.0587084148727984,0.0065061808718282,15.608590245900515,445592.0,63.1290861984182,7.157732356081756,120,True,1.5132917506067963e-32,True
Singapore Pools Yishun N1 Branch,760101,Branch,YISHUN,NORTH REGION,residential,221610.0,1,0,1.4305357538408,103.827667722074,391837,2044,50385,53281,22401,64,0.9387,1120570,39548,50440,194404,110071,167,0.9465,1845813,239558,192080,356958,227658,330,0.8526,12.0,23,95,118,1678,4179,2505,167.0,39548.0,188.1643124481072,0,471351.6026825086,0.0018281620865278,33.71862152391992,0.0471057884231536,0.0063977445239644,14.514321020484578,418335.0,59.26746053523241,7.629052781829435,118,True,2.62619407330103e-29,True
Singapore Pools Jurong West N5 Branch,640508,Branch,JURONG WEST,WEST REGION,residential,262730.0,1,0,1.34872718063365,103.718715391434,649973,0,46859,81056,25440,87,0.9664,1532549,134820,129792,322581,171821,229,0.8889,2327384,1014169,196125,612717,395796,379,0.6856,12.0,20,118,138,2143,4170,2040,229.0,134820.0,301.14960565019254,0,614345.1955263928,0.0023827702889098,43.94781520865237,0.0676470588235294,0.0074821080026024,14.187316050490164,467160.0,66.18472483449669,8.827504447524852,138,True,1.8387201551940164e-29,True
Singapore Pools Jurong East Branch,600351,Branch,TENGAH,WEST REGION,residential,10.0,1,0,1.34483235593159,103.730778253202,363418,0,43091,65516,225945,43,0.947,933896,0,128848,238686,543934,142,0.9394,2836159,2365,243477,611497,1412485,449,0.9597,12.0,15,83,98,1605,4179,2578,142.0,0.0,142.0,0,366076.0,0.0014198451011496,26.187623045603296,0.0380139643134212,0.0053133810453263,14.0330237895292,366076.0,51.86368552211921,6.406358100628545,98,True,1.1476646444813532e-26,True
Singapore Pools Clementi Town Centre Branch,120446,Branch,CLEMENTI,WEST REGION,residential,91990.0,1,0,1.31251305732378,103.764927758669,432508,3788,57538,37188,94113,70,0.9341,1666160,33782,144008,277695,201284,200,0.9426,2916488,692514,202558,1020973,393700,254,0.7917,12.0,15,98,113,1989,4167,2194,200.0,33782.0,218.07860835243144,0,478464.4667252345,0.0018557497053999,34.227447566396165,0.0515041020966271,0.0061266536543049,13.4644203340943,438800.0,62.166832043362334,6.447150490337832,113,True,4.230484715624114e-26,True
NTUC FairPrice Bukit Timah Plaza,588996,Authorised Retailer (FairPrice),BUKIT TIMAH,CENTRAL REGION,residential,77860.0,1,0,1.33875930729064,103.778600077834,210615,0,92035,380683,33713,8,0.848,1405064,34679,92816,453784,94197,21,0.9471,3668789,36093,94578,561721,524514,21,0.9781,11.0,7,36,43,1537,4155,2646,21.0,34679.0,39.55864244431855,0,104672.16790766688,0.0004059765317322,7.48783115126934,0.0162509448223733,0.0023313814790717,12.977743183201577,55566.0,7.872293047678832,12.519851419150902,43,True,8.828490628119416e-19,True
NTUC FairPrice AMK Hub,569933,Authorised Retailer (FairPrice),ANG MO KIO,NORTH-EAST REGION,residential,162280.0,1,0,1.36923561405404,103.848693181185,347455,19300,108154,61603,28657,86,0.8455,1502032,19300,210764,131393,555769,271,0.928,3055447,525211,345948,930950,833967,486,0.8222,13.5,23,98,121,2211,4160,1972,271.0,19300.0,281.32849272399284,0,554779.7876517138,0.0021517427083832,39.686742513420505,0.0613590263691683,0.0065603990457601,12.9073959544311,534412.0,75.71262772551812,5.204667172654051,121,True,5.798326672103036e-25,True
