outlet_name,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,n_outlets_at_postal,shared_postal,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb
7-Eleven Balestier Rd,329722,,NOVENA,CENTRAL REGION,residential,49330,1,0,1.32242229055037,103.852590390225,399478,38363,52647,59828,8390,30,0.8681,1396775,72655,74812,497830,222896,166,0.9287,3240378,544987,165642,645755,359883,374,0.8411,0.0,1,1,2,3709,3739,474,166.0,72655.0,204.8816911327306,1,97113.9215969143,0.0003766614742097419,6.94714423032448,0.004219409282700422,0.00010843634786380394,-1.8769444281352865,78684.0,11.14752737579745,-2.7397721334493896
7-Eleven Big Mac Centre,569922,Authorised Retailer,ANG MO KIO,NORTH-EAST REGION,residential,162280,2,1,1.36929729654979,103.84715944541,366103,19300,108154,8873,17265,91,0.8513,1592959,19300,228174,155461,559198,270,0.9275,3299366,204060,380365,979822,924221,527,0.8985,0.0,4,22,26,2142,3210,2041,270.0,19300.0,280.32849272399284,1,572150.4536496694,0.002219115753928164,40.92937096545106,0.012738853503184714,0.0014096725222294514,-2.333586880345797,551070.0,78.07264387906947,-5.893322196682145
7-Eleven Erskine Rd,069320,,OUTRAM,CENTRAL REGION,commercial,18340,1,0,1.2812137246811,103.845162755022,41713,362753,53639,22335,30953,16,0.1496,308434,820351,123894,240728,253382,64,0.2957,776962,1119416,187907,563696,704316,115,0.4178,0.0,2,27,29,1942,3638,2241,64.0,820351.0,503.0149914311014,1,1127256.5957970982,0.004372124245460202,80.63945958326798,0.012940651494868362,0.0015723270440251573,-5.750530143861048,143424.0,20.319543571073837,1.925686506785721
7-Eleven Jalan Leban,577549,,ANG MO KIO,NORTH-EAST REGION,residential,162280,1,0,1.37137207632985,103.829054256663,296089,2525,0,0,14201,1,0.9915,1115162,2525,0,125282,114051,43,0.9977,3025814,122454,71739,274175,1944379,155,0.9508,11.14,12,32,44,1292,3633,2891,43.0,2525.0,44.35126653513378,1,128219.51155307176,0.0004973061477682885,9.172314589438313,0.015219647180906262,0.0023855996530036867,11.499663759266015,124313.0,17.611999525538973,6.287849679214873
7-Eleven Kim Tian,169247,,SINGAPORE RIVER,CENTRAL REGION,residential,3260,1,0,1.28508532787771,103.829289490938,528434,24632,5392,43796,9688,152,0.9511,1402044,270426,83502,334768,82652,270,0.8222,3178854,469163,184788,710541,340797,399,0.8535,0.0,4,11,15,1950,3307,2233,270.0,270426.0,414.7198431802326,1,926069.4098214594,0.0035918091184877023,66.24732738138718,0.006717420510523959,0.0008132726089785296,-6.29632359481161,602910.0,85.4170572180118,-7.619133252240754
7-Eleven Store Bedok North Street 2,460123,Authorised Retailer (7-Eleven),BEDOK,EAST REGION,residential,276990,1,0,1.32919868667839,103.937343347878,405134,0,37141,17592,48254,74,0.958,1727898,32867,215160,234775,153490,281,0.9289,3634751,551337,326969,384182,373698,415,0.8416,11.0,8,40,48,2127,4109,2056,281.0,32867.0,298.58894146940276,1,613898.863661092,0.0023810391671961837,43.915886399766414,0.023346303501945526,0.002602472348731295,0.6162926482318737,577736.0,81.85053982999995,-3.741578186294964
7-Eleven Store Bedok Road,469539,,TAMPINES,EAST REGION,residential,259900,1,0,1.33144709315919,103.947134707266,384438,71984,16892,15969,29596,0,0.8301,1191653,391989,54033,218126,64385,59,0.7441,3209128,1023551,88875,492935,206688,238,0.7529,0.0,0,3,3,3935,4046,248,59.0,391989.0,268.77489815467527,1,66656.17474235946,0.00025852949433809115,4.7683179935717535,0.012096774193548387,0.00016265452179570593,-0.8097999786481215,14632.0,2.0729833328588825,0.6438573197682275
7-Eleven Store Bukit Batok West Avenue 6,650132,Authorised Retailer (7-Eleven),BUKIT BATOK,WEST REGION,residential,158030,1,0,1.3506524380389,103.745625196086,506401,13499,34996,93952,43617,103,0.9441,1485675,127004,49693,277734,363838,283,0.9087,3295109,364661,226468,552185,1001826,641,0.877,11.0,5,31,36,1941,4119,2242,283.0,127004.0,350.96683367450714,1,786867.641098245,0.0030519077062317332,56.28938573373809,0.016057091882247992,0.001951854261548471,-2.704304832124387,634486.0,89.89057565146945,-5.6840218912054805
7-Eleven Store Changi Road,419701,Authorised Retailer (7-Eleven),GEYLANG,CENTRAL REGION,residential,110110,1,0,1.31621766760551,103.898830016087,311569,110063,64768,18313,18044,41,0.7071,1452940,297562,71252,189416,59128,80,0.8171,3330850,823074,103764,443744,127038,190,0.7945,11.0,10,35,45,1651,4144,2532,80.0,297562.0,239.24181098117927,0,605760.2654043459,0.002349473183998526,43.333683405668815,0.017772511848341232,0.002439817826935589,0.25313063949803655,202560.0,28.69761508364511,3.0431841968154276
7-Eleven Store Choa Chu Kang Drive,682689,Authorised Retailer (7-Eleven),CHOA CHU KANG,WEST REGION,mixed,192070,1,0,1.40313482841143,103.749793059631,409705,158589,0,13601,83444,83,0.7209,753180,905366,8500,61724,148579,159,0.4544,1058913,2294312,8500,138173,272693,227,0.3163,11.0,12,45,57,2144,4160,2039,159.0,905366.0,643.5111991476947,0,1312119.3350621494,0.005089124143652325,93.86380570552348,0.027954879843060325,0.0030904359141184124,-3.804968704346071,324201.0,45.9310599710349,1.6332505025571167
7-Eleven Store Circular Road,049413,Authorised Retailer (7-Eleven),DOWNTOWN CORE,CENTRAL REGION,commercial,3190,1,0,1.28606946719614,103.84924456163,0,273881,20798,44671,73360,8,0.0353,60260,799065,104097,229846,548933,23,0.1166,475828,1486299,230506,473724,851510,65,0.2696,11.0,7,21,28,2197,4152,1986,23.0,799065.0,450.6236807511578,0,894938.6299717993,0.0034710667445967433,64.02035503734233,0.014098690835850957,0.0015181088700932553,-4.5018285390184305,45678.0,6.47141420710279,8.462835575843462
7-Eleven Store Clementi Street 11,120109,Authorised Retailer (7-Eleven),CLEMENTI,WEST REGION,residential,91990,1,0,1.32189101845703,103.770595266094,328299,0,23693,6506,11294,36,0.9663,2232353,60598,59278,32210,125073,120,0.9616,3773620,141122,116816,612783,256981,197,0.9505,11.0,2,18,20,2004,3932,2179,120.0,60598.0,152.42932653308387,1,332143.50251558976,0.0012882361174330775,23.76022694993568,0.009178522257916476,0.0010843634786380394,-0.7714162186293435,261480.0,37.045084873970794,-2.800488999181933
7-Eleven Store Esplanade MRT Station,189562,Authorised Retailer (7-Eleven),DOWNTOWN CORE,CENTRAL REGION,commercial,3190,1,0,1.2936577245386,103.855081226245,9875,402233,20832,62970,149784,3,0.0469,27497,835947,92578,332822,447194,13,0.0772,421281,1435152,237575,464160,846259,54,0.2579,0.0,0,11,11,3821,4160,362,13.0,835947.0,460.36126980018906,0,166650.77966766845,0.0006463638509869564,11.921534867603425,0.03038674033149171,0.0005963999132509217,-0.2668982248956549,4706.0,0.6667208559618576,12.65511631789426
7-Eleven Store Eunos Crescent,401001,Authorised Retailer (7-Eleven),GEYLANG,CENTRAL REGION,residential,110110,1,0,1.32129030482793,103.902727807563,424557,10132,0,68275,16519,51,0.9767,1557122,298903,65336,152382,53556,139,0.8274,3344984,1159884,77753,301653,136096,231,0.7384,11.0,26,72,98,1194,4167,2989,139.0,298903.0,298.95945392122456,0,893589.8077705402,0.0034658352664479995,63.92386565436691,0.03278688524590164,0.0053133810453263935,4.262052614666253,415471.0,58.861704366198246,5.101354365357957
7-Eleven Store Foch Road,209264,Authorised Retailer (7-Eleven),KALLANG,CENTRAL REGION,mixed,101290,1,0,1.31270184017357,103.859968759019,243150,209984,9383,50104,38968,24,0.5359,952862,749544,70464,169631,153040,143,0.5573,2448542,1170599,183381,440660,383497,323,0.668,11.0,6,24,30,2143,4169,2040,143.0,749544.0,544.1222668555697,0,1110009.4243853623,0.004305230180190584,79.40566544343513,0.014705882352941176,0.0016265452179570592,-5.544354724065783,291720.0,41.32932598835383,-1.7622799978296102
7-Eleven Store McCallum Street,069044,Authorised Retailer (7-Eleven),OUTRAM,CENTRAL REGION,commercial,18340,1,0,1.27968475871905,103.847576349309,39471,334232,6062,29232,24673,1,0.1119,166466,786697,100288,133838,294998,42,0.2056,471553,999072,135644,556880,549922,80,0.3358,10.86,12,51,63,2465,4160,1718,42.0,786697.0,463.0048829267876,0,795442.3888682211,0.003085165318352697,56.90278913169714,0.03667054714784633,0.0034157449577098243,0.8082848486572349,72156.0,10.222675325708416,16.506883562372014
7-Eleven Store Owen Road,210045,Authorised Retailer (7-Eleven),ROCHOR,CENTRAL REGION,residential,13120,1,0,1.31559567579803,103.850825476141,395740,5264,0,58042,12316,30,0.9869,1334648,258096,34814,368795,112256,79,0.8307,2844715,676804,162642,737136,270785,250,0.7942,11.0,12,36,48,2127,4162,2056,79.0,258096.0,217.12138124827243,0,446401.55984644813,0.0017313920275940544,31.93379455694474,0.023346303501945526,0.002602472348731295,2.843073272666315,162424.0,23.011361731565827,5.209204782301411
7-Eleven Store Plaza Singapura,238839,Authorised Retailer (7-Eleven),MUSEUM,CENTRAL REGION,mixed,510,1,0,1.30082071769235,103.845067272666,138909,111896,39662,451630,20454,0,0.5465,675406,413598,157306,668735,333755,19,0.605,1731049,1180904,275701,959910,543155,53,0.5863,11.0,10,38,48,2164,4167,2019,19.0,413598.0,240.3390639201033,0,485244.5700546886,0.0018820466942700298,34.71246922911643,0.0237741456166419,0.002602472348731295,2.2552855087309154,38361.0,5.434780866033324,18.258447820148884
