outlet_name,merged_from,n_merged,postal_code,outlet_type,planning_area,region,neighborhood_type,pa_population,pa_area_sqkm,pa_population_density,n_outlets_at_postal,shared_postal,merge_group,merge_role,latitude,longitude,res_area_500m,com_area_500m,mixed_area_500m,inst_area_500m,open_area_500m,hdb_blocks_500m,rc_ratio_500m,res_area_1000m,com_area_1000m,mixed_area_1000m,inst_area_1000m,open_area_1000m,hdb_blocks_1000m,rc_ratio_1000m,res_area_1500m,com_area_1500m,mixed_area_1500m,inst_area_1500m,open_area_1500m,hdb_blocks_1500m,rc_ratio_1500m,open_hours_daily,g1_wins_hist,g2_wins_hist,combined_wins_hist,first_draw,last_draw,draws_i,hdb_proxy,com_area_proxy,volume_proxy,is_closed,exposure,p_share,expected_wins,win_rate_per_draw,win_share,std_residual,exposure_hdb,expected_wins_hdb,std_residual_hdb
7-Eleven Balestier Rd,7-Eleven Balestier Rd,1,329722,,NOVENA,CENTRAL REGION,residential,49330,8.968,5500.7,1,0,,unique,1.32242229055037,103.852590390225,399478,38363,52647,59828,8390,30,0.8681,1396775,72655,74812,497830,222896,166,0.9287,3240378,544987,165642,645755,359883,374,0.8411,0.0,1,1,2,3709,3739,474,166.0,72655.0,203.9982411332109,1,96695.16629714197,0.00038302647182293474,7.064540246302208,0.004219409282700422,0.00010843634786380394,-1.9054522715116764,78684.0,11.286459012652543,-2.76421164269791
7-Eleven Erskine Rd,7-Eleven Erskine Rd,1,069320,,OUTRAM,CENTRAL REGION,commercial,18340,1.3732,13355.8,1,0,,unique,1.2812137246811,103.845162755022,41713,362753,53639,22335,30953,16,0.1496,308434,820351,123894,240728,253382,64,0.2957,776962,1119416,187907,563696,704316,115,0.4178,0.0,2,27,29,1942,3638,2241,64.0,820351.0,493.0399162049508,1,1104902.4522152948,0.004376711930770441,80.72407485113001,0.012940651494868362,0.0015723270440251573,-5.756933241209351,143424.0,20.572786048379317,1.8579647289865153
7-Eleven Jalan Leban,7-Eleven Jalan Leban,1,577549,,ANG MO KIO,NORTH-EAST REGION,residential,162280,13.9426,11639.2,1,0,,unique,1.37137207632985,103.829054256663,296089,2525,0,0,14201,1,0.9915,1115162,2525,0,125282,114051,43,0.9977,3025814,122454,71739,274175,1944379,155,0.9508,11.14,12,32,44,1292,3633,2891,43.0,2525.0,44.32056374456483,1,128130.74978553691,0.000507548318098627,9.361221179011077,0.015219647180906262,0.0023855996530036867,11.321300538387383,124313.0,17.83149788063489,6.197049301616356
7-Eleven Kim Tian,7-Eleven Kim Tian,1,169247,,SINGAPORE RIVER,CENTRAL REGION,residential,3260,0.9576,3404.4,1,0,,unique,1.28508532787771,103.829289490938,528434,24632,5392,43796,9688,152,0.9511,1402044,270426,83502,334768,82652,270,0.8222,3178854,469163,184788,710541,340797,399,0.8535,0.0,4,11,15,1950,3307,2233,270.0,270426.0,411.4315925495794,1,918726.7461632108,0.0036392373851541803,67.1220943317837,0.006717420510523959,0.0008132726089785296,-6.361933255138101,602910.0,86.4816100264138,-7.6865674537706425
7-Eleven Store Bedok North Street 2,7-Eleven Store Bedok North Street 2,1,460123,Authorised Retailer (7-Eleven),BEDOK,EAST REGION,residential,276990,21.734,12744.6,1,0,,unique,1.32919868667839,103.937343347878,405134,0,37141,17592,48254,74,0.958,1727898,32867,215160,234775,153490,281,0.9289,3634751,551337,326969,384182,373698,415,0.8416,11.0,8,40,48,2127,4109,2056,281.0,32867.0,298.1892944921236,1,613077.1894758062,0.0024285060136142464,44.79136491510116,0.023346303501945526,0.002602472348731295,0.4794277627595569,577736.0,82.8706431311808,-3.8305364797379027
7-Eleven Store Bedok Road,7-Eleven Store Bedok Road,1,469539,,TAMPINES,EAST REGION,residential,259900,20.7954,12497.9,1,0,,unique,1.33144709315919,103.947134707266,384438,71984,16892,15969,29596,0,0.8301,1191653,391989,54033,218126,64385,59,0.7441,3209128,1023551,88875,492935,206688,238,0.7529,0.0,0,3,3,3935,4046,248,59.0,391989.0,264.0084996705831,1,65474.10791830461,0.0002593543970402534,4.783532499010433,0.012096774193548387,0.00016265452179570593,-0.8154675107730955,14632.0,2.098818924725891,0.6220489727754195
7-Eleven Store Bukit Batok West Avenue 6,7-Eleven Store Bukit Batok West Avenue 6,1,650132,Authorised Retailer (7-Eleven),BUKIT BATOK,WEST REGION,residential,158030,11.1402,14185.6,1,0,,unique,1.3506524380389,103.745625196086,506401,13499,34996,93952,43617,103,0.9441,1485675,127004,49693,277734,363838,283,0.9087,3295109,364661,226468,552185,1001826,641,0.877,11.0,5,31,36,1941,4119,2242,283.0,127004.0,349.4225258672124,1,783405.3029942903,0.0031032054724554436,57.235521733968206,0.016057091882247992,0.001951854261548471,-2.8069205016266405,634486.0,91.01088192137998,-5.766362572297245
7-Eleven Store Changi Road,7-Eleven Store Changi Road,1,419701,Authorised Retailer (7-Eleven),GEYLANG,CENTRAL REGION,residential,110110,9.6448,11416.5,1,0,,unique,1.31621766760551,103.898830016087,311569,110063,64768,18313,18044,41,0.7071,1452940,297562,71252,189416,59128,80,0.8171,3330850,823074,103764,443744,127038,190,0.7945,11.0,10,35,45,1651,4144,2532,80.0,297562.0,235.62359958819772,0,596598.9541573166,0.0023632328404287976,43.587466508868744,0.017772511848341232,0.002439817826935589,0.21395278320680955,202560.0,29.05527346859462,2.9580437387655416
7-Eleven Store Choa Chu Kang Drive,7-Eleven Store Choa Chu Kang Drive,1,682689,Authorised Retailer (7-Eleven),CHOA CHU KANG,WEST REGION,mixed,192070,6.1173,31397.9,1,0,,unique,1.40313482841143,103.749793059631,409705,158589,0,13601,83444,83,0.7209,753180,905366,8500,61724,148579,159,0.4544,1058913,2294312,8500,138173,272693,227,0.3163,11.0,12,45,57,2144,4160,2039,159.0,905366.0,632.5023822422494,0,1289672.3573919465,0.005108617853155342,94.22334768359713,0.027954879843060325,0.0030904359141184124,-3.8347421199483036,324201.0,46.503498784517404,1.5392237145008905
7-Eleven Store Circular Road,7-Eleven Store Circular Road,1,049413,Authorised Retailer (7-Eleven),DOWNTOWN CORE,CENTRAL REGION,commercial,3190,5.0836,627.5,1,0,,unique,1.28606946719614,103.84924456163,0,273881,20798,44671,73360,8,0.0353,60260,799065,104097,229846,548933,23,0.1166,475828,1486299,230506,473724,851510,65,0.2696,11.0,7,21,28,2197,4152,1986,23.0,799065.0,440.90743308938374,0,875642.1621155161,0.0034685718095137674,63.97433845467192,0.014098690835850957,0.0015181088700932553,-4.497694098652977,45678.0,6.552067444206482,8.379078433356238
7-Eleven Store Clementi Street 11,7-Eleven Store Clementi Street 11,1,120109,Authorised Retailer (7-Eleven),CLEMENTI,WEST REGION,residential,91990,9.5213,9661.5,1,0,,unique,1.32189101845703,103.770595266094,328299,0,23693,6506,11294,36,0.9663,2232353,60598,59278,32210,125073,120,0.9616,3773620,141122,116816,612783,256981,197,0.9505,11.0,2,18,20,2004,3932,2179,120.0,60598.0,151.69248387847105,1,330537.9223711884,0.001309318542567742,24.149071199119437,0.009178522257916476,0.0010843634786380394,-0.8443075474103986,261480.0,37.506777777291276,-2.858586519811677
7-Eleven Store Esplanade MRT Station,7-Eleven Store Esplanade MRT Station,1,189562,Authorised Retailer (7-Eleven),DOWNTOWN CORE,CENTRAL REGION,commercial,3190,5.0836,627.5,1,0,,unique,1.2936577245386,103.855081226245,9875,402233,20832,62970,149784,3,0.0469,27497,835947,92578,332822,447194,13,0.0772,421281,1435152,237575,464160,846259,54,0.2579,0.0,0,11,11,3821,4160,362,13.0,835947.0,450.19655468425105,0,162971.15279569887,0.0006455572502190108,11.906657923039436,0.03038674033149171,0.0005963999132509217,-0.2627535078976399,4706.0,0.675030198179336,12.566871930105643
7-Eleven Store Eunos Crescent,7-Eleven Store Eunos Crescent,1,401001,Authorised Retailer (7-Eleven),GEYLANG,CENTRAL REGION,residential,110110,9.6448,11416.5,1,0,,unique,1.32129030482793,103.902727807563,424557,10132,0,68275,16519,51,0.9767,1557122,298903,65336,152382,53556,139,0.8274,3344984,1159884,77753,301653,136096,231,0.7384,11.0,26,72,98,1194,4167,2989,139.0,298903.0,295.32493661055867,0,882726.2355289599,0.003496633063758347,64.49190022795895,0.03278688524590164,0.0053133810453263935,4.172508337767239,415471.0,59.59529780445535,4.974831832743736
7-Eleven Store Foch Road,7-Eleven Store Foch Road,1,209264,Authorised Retailer (7-Eleven),KALLANG,CENTRAL REGION,mixed,101290,8.5847,11798.9,1,0,,unique,1.31270184017357,103.859968759019,243150,209984,9383,50104,38968,24,0.5359,952862,749544,70464,169631,153040,143,0.5573,2448542,1170599,183381,440660,383497,323,0.668,11.0,6,24,30,2143,4169,2040,143.0,749544.0,535.0081708340987,0,1091416.6685015613,0.004323292381961089,79.73880469289033,0.014705882352941176,0.0016265452179570592,-5.570067827145317,291720.0,41.844413389901376,-1.8310272792870896
