outlet_name,postal_code,onemap_address,planning_area
Delisia Agency Pte Ltd,188425,149 ROCHOR ROAD FU LU SHOU COMPLEX SINGAPORE 188425,ROCHOR
Tong Aik Huat,530685,685 HOUGANG STREET 61 HOUGANG SPRING SINGAPORE 530685,HOUGANG
NTUC FairPrice NEX,556083,23 SERANGOON AVENUE 2 CS MONTESSORI KINDERGARTEN @ SERANGOON SINGAPORE 556083,SERANGOON
Tan Wee Fong Trading,330024,24 BENDEMEER ROAD BENDEMEER VILLE SINGAPORE 330024,KALLANG
Singapore Pools King George's Ave Branch,200803,803 KING GEORGE'S AVENUE SINGAPORE 200803,KALLANG
NTUC FairPrice AMK Hub,569933,53 ANG MO KIO AVENUE 3 ABUNDANT LIFE FAMILY CHURCH SINGAPORE 569933,ANG MO KIO
Fatt Chye Heng Trading,530007,7 HOUGANG AVENUE 3 SINGAPORE 530007,HOUGANG
PFG Framing & Trading,640960,960 JURONG WEST STREET 92 SINGAPORE 640960,JURONG WEST
Ng Teo Guan Self Service,400301,301 UBI AVENUE 1 SINGAPORE 400301,GEYLANG
Mee Lee Cheong Pte. Ltd.,521139,139 TAMPINES STREET 11 SINGAPORE 521139,TAMPINES
Laura's Gifts,510442,442 PASIR RIS DRIVE 6 SINGAPORE 510442,PASIR RIS
Singapore Pools Suntec City Branch,38983,3 TEMASEK BOULEVARD GOLDEN VILLAGE (GV SUNTEC CITY) SINGAPORE 038983,DOWNTOWN CORE
Singapore Pools People's Park Centre (Chinatown) Branch,58357,101 UPPER CROSS STREET CHINATOWN POST OFFICE SINGAPORE 058357,OUTRAM
NTUC FairPrice Tampines Mall,529510,4 TAMPINES CENTRAL 5 GOLDEN VILLAGE (GV TAMPINES) SINGAPORE 529510,TAMPINES
7-Eleven Store Eunos Crescent,401001,1A EUNOS CRESCENT SINGAPORE 401001,GEYLANG
Singapore Pools Toa Payoh Lorong 1 Branch,310111,111 LORONG 1 TOA PAYOH TOA PAYOH NORTH SINGAPORE 310111,TOA PAYOH
